size_of_array, thread_per_block, number_of_all_blocks, Mflops/s, elapsed_from_GPU, elapsed_from_CPU
5120, 1024, 5, 352921.125000, 0.001208, 0.004000
5120, 1024, 5, 353192.375000, 0.001207, 0.004000
5120, 1024, 5, 353548.375000, 0.001206, 0.004000
5120, 1024, 5, 352921.125000, 0.001208, 0.004000
5120, 1024, 5, 353595.312500, 0.001206, 0.004000
5120, 1024, 5, 353548.375000, 0.001206, 0.004000
5120, 1024, 5, 353164.250000, 0.001208, 0.004000
5120, 1024, 5, 353576.531250, 0.001206, 0.004000
5120, 1024, 5, 318889.781250, 0.001337, 0.003000
5120, 1024, 5, 328349.031250, 0.001299, 0.005000
5120, 1024, 5, 352249.531250, 0.001211, 0.004000
5120, 1024, 5, 353136.218750, 0.001208, 0.005000
5120, 1024, 5, 353014.593750, 0.001208, 0.004000
5120, 1024, 5, 352949.156250, 0.001208, 0.004000
5120, 1024, 5, 353492.125000, 0.001206, 0.004000
5120, 1024, 5, 352949.156250, 0.001208, 0.005000
5120, 1024, 5, 353239.187500, 0.001207, 0.004000
5120, 1024, 5, 354149.687500, 0.001204, 0.004000
5120, 1024, 5, 353145.531250, 0.001208, 0.004000
5120, 1024, 5, 352949.156250, 0.001208, 0.004000
5120, 1024, 5, 353295.312500, 0.001207, 0.003000
5120, 1024, 5, 353332.812500, 0.001207, 0.004000
5120, 1024, 5, 353595.312500, 0.001206, 0.003000
5120, 1024, 5, 353595.312500, 0.001206, 0.003000
5120, 1024, 5, 312255.093750, 0.001366, 0.004000
5120, 1024, 5, 353407.781250, 0.001207, 0.003000
5120, 1024, 5, 353126.812500, 0.001208, 0.003000
5120, 1024, 5, 353454.625000, 0.001207, 0.003000
5120, 1024, 5, 314168.937500, 0.001357, 0.004000
5120, 1024, 5, 353360.906250, 0.001207, 0.003000
5120, 1024, 5, 353023.968750, 0.001208, 0.004000
5120, 1024, 5, 353858.156250, 0.001205, 0.004000
5120, 1024, 5, 353548.375000, 0.001206, 0.003000
5120, 1024, 5, 353576.531250, 0.001206, 0.004000
5120, 1024, 5, 310697.281250, 0.001373, 0.003000
5120, 1024, 5, 352995.875000, 0.001208, 0.003000
5120, 1024, 5, 353342.156250, 0.001207, 0.004000
5120, 1024, 5, 353435.875000, 0.001207, 0.004000
5120, 1024, 5, 308047.343750, 0.001384, 0.004000
5120, 1024, 5, 353548.375000, 0.001206, 0.003000
5120, 1024, 5, 353417.125000, 0.001207, 0.004000
5120, 1024, 5, 348591.750000, 0.001223, 0.004000
5120, 1024, 5, 353295.312500, 0.001207, 0.004000
5120, 1024, 5, 353510.875000, 0.001206, 0.004000
5120, 1024, 5, 353126.812500, 0.001208, 0.004000
5120, 1024, 5, 352949.156250, 0.001208, 0.004000
5120, 1024, 5, 309880.968750, 0.001376, 0.004000
5120, 1024, 5, 353576.531250, 0.001206, 0.004000
5120, 1024, 5, 353520.250000, 0.001206, 0.004000
5120, 1024, 5, 352949.156250, 0.001208, 0.004000
5120, 1024, 5, 353033.281250, 0.001208, 0.005000
5120, 1024, 5, 290514.656250, 0.001468, 0.004000
5120, 1024, 5, 353548.375000, 0.001206, 0.004000
5120, 1024, 5, 353033.281250, 0.001208, 0.004000
5120, 1024, 5, 348172.875000, 0.001225, 0.004000
5120, 1024, 5, 314561.937500, 0.001356, 0.003000
5120, 1024, 5, 352696.937500, 0.001209, 0.003000
5120, 1024, 5, 353482.750000, 0.001206, 0.005000
5120, 1024, 5, 352640.968750, 0.001209, 0.004000
5120, 1024, 5, 352054.093750, 0.001211, 0.004000
5120, 1024, 5, 353154.937500, 0.001208, 0.004000
5120, 1024, 5, 324875.312500, 0.001313, 0.003000
5120, 1024, 5, 317923.656250, 0.001341, 0.003000
5120, 1024, 5, 297911.312500, 0.001432, 0.003000
5120, 1024, 5, 353473.406250, 0.001207, 0.004000
5120, 1024, 5, 353370.281250, 0.001207, 0.004000
5120, 1024, 5, 352949.156250, 0.001208, 0.004000
5120, 1024, 5, 287984.781250, 0.001481, 0.004000
5120, 1024, 5, 352949.156250, 0.001208, 0.004000
5120, 1024, 5, 333467.468750, 0.001279, 0.003000
5120, 1024, 5, 301319.468750, 0.001415, 0.004000
5120, 1024, 5, 305848.750000, 0.001394, 0.003000
5120, 1024, 5, 353304.718750, 0.001207, 0.004000
5120, 1024, 5, 353576.531250, 0.001206, 0.004000
5120, 1024, 5, 353435.875000, 0.001207, 0.004000
5120, 1024, 5, 353548.375000, 0.001206, 0.004000
5120, 1024, 5, 352603.656250, 0.001210, 0.003000
5120, 1024, 5, 296440.250000, 0.001439, 0.004000
5120, 1024, 5, 352911.750000, 0.001208, 0.003000
5120, 1024, 5, 353501.500000, 0.001206, 0.004000
5120, 1024, 5, 352986.562500, 0.001208, 0.003000
5120, 1024, 5, 353014.593750, 0.001208, 0.004000
5120, 1024, 5, 353548.375000, 0.001206, 0.004000
5120, 1024, 5, 353276.625000, 0.001207, 0.004000
5120, 1024, 5, 353229.781250, 0.001207, 0.004000
5120, 1024, 5, 353005.250000, 0.001208, 0.004000
5120, 1024, 5, 352949.156250, 0.001208, 0.003000
5120, 1024, 5, 352949.156250, 0.001208, 0.003000
5120, 1024, 5, 353548.375000, 0.001206, 0.004000
5120, 1024, 5, 352547.656250, 0.001210, 0.004000
5120, 1024, 5, 352361.281250, 0.001210, 0.004000
5120, 1024, 5, 352855.718750, 0.001209, 0.004000
5120, 1024, 5, 353567.156250, 0.001206, 0.003000
5120, 1024, 5, 353126.812500, 0.001208, 0.004000
5120, 1024, 5, 352949.156250, 0.001208, 0.004000
5120, 1024, 5, 312160.031250, 0.001366, 0.004000
5120, 1024, 5, 353548.375000, 0.001206, 0.004000
5120, 1024, 5, 352949.156250, 0.001208, 0.004000
5120, 1024, 5, 353548.375000, 0.001206, 0.004000
5120, 1024, 5, 352482.406250, 0.001210, 0.004000
5120, 1024, 5, 353707.906250, 0.001206, 0.005000
5120, 1024, 5, 352949.156250, 0.001208, 0.004000
5120, 1024, 5, 323967.125000, 0.001316, 0.004000
5120, 1024, 5, 353154.937500, 0.001208, 0.004000
5120, 1024, 5, 353548.375000, 0.001206, 0.005000
5120, 1024, 5, 353492.125000, 0.001206, 0.003000
5120, 1024, 5, 353108.156250, 0.001208, 0.003000
5120, 1024, 5, 353370.281250, 0.001207, 0.003000
5120, 1024, 5, 353014.593750, 0.001208, 0.003000
5120, 1024, 5, 353304.718750, 0.001207, 0.003000
5120, 1024, 5, 353257.906250, 0.001207, 0.003000
5120, 1024, 5, 353389.031250, 0.001207, 0.005000
5120, 1024, 5, 352995.875000, 0.001208, 0.004000
5120, 1024, 5, 352949.156250, 0.001208, 0.004000
5120, 1024, 5, 353080.062500, 0.001208, 0.003000
5120, 1024, 5, 353342.156250, 0.001207, 0.003000
5120, 1024, 5, 311875.156250, 0.001367, 0.003000
5120, 1024, 5, 353548.375000, 0.001206, 0.004000
5120, 1024, 5, 352949.156250, 0.001208, 0.004000
5120, 1024, 5, 352827.687500, 0.001209, 0.003000
5120, 1024, 5, 353108.156250, 0.001208, 0.004000
5120, 1024, 5, 353276.625000, 0.001207, 0.003000
5120, 1024, 5, 353061.343750, 0.001208, 0.003000
5120, 1024, 5, 352426.500000, 0.001210, 0.004000
5120, 1024, 5, 353548.375000, 0.001206, 0.004000
5120, 1024, 5, 300592.281250, 0.001419, 0.005000
5120, 1024, 5, 353501.500000, 0.001206, 0.003000
5120, 1024, 5, 326707.031250, 0.001305, 0.003000
5120, 1024, 5, 352949.156250, 0.001208, 0.004000
5120, 1024, 5, 352995.875000, 0.001208, 0.004000
5120, 1024, 5, 353548.375000, 0.001206, 0.004000
5120, 1024, 5, 353492.125000, 0.001206, 0.004000
5120, 1024, 5, 352949.156250, 0.001208, 0.004000
5120, 1024, 5, 353632.812500, 0.001206, 0.004000
5120, 1024, 5, 353614.031250, 0.001206, 0.004000
5120, 1024, 5, 352949.156250, 0.001208, 0.004000
5120, 1024, 5, 352865.031250, 0.001209, 0.003000
5120, 1024, 5, 352389.218750, 0.001210, 0.004000
5120, 1024, 5, 353023.968750, 0.001208, 0.004000
5120, 1024, 5, 353548.375000, 0.001206, 0.003000
5120, 1024, 5, 354046.187500, 0.001205, 0.004000
5120, 1024, 5, 283319.718750, 0.001505, 0.003000
5120, 1024, 5, 353154.937500, 0.001208, 0.004000
5120, 1024, 5, 353886.343750, 0.001205, 0.004000
5120, 1024, 5, 353052.000000, 0.001208, 0.004000
5120, 1024, 5, 309909.781250, 0.001376, 0.003000
5120, 1024, 5, 352949.156250, 0.001208, 0.004000
5120, 1024, 5, 352706.312500, 0.001209, 0.004000
5120, 1024, 5, 353304.718750, 0.001207, 0.004000
5120, 1024, 5, 353089.437500, 0.001208, 0.005000
5120, 1024, 5, 353407.781250, 0.001207, 0.004000
5120, 1024, 5, 353520.250000, 0.001206, 0.004000
5120, 1024, 5, 353548.375000, 0.001206, 0.004000
5120, 1024, 5, 353285.968750, 0.001207, 0.004000
5120, 1024, 5, 352949.156250, 0.001208, 0.004000
5120, 1024, 5, 352949.156250, 0.001208, 0.005000
5120, 1024, 5, 353398.375000, 0.001207, 0.004000
5120, 1024, 5, 353285.968750, 0.001207, 0.004000
5120, 1024, 5, 353220.437500, 0.001207, 0.004000
5120, 1024, 5, 353867.562500, 0.001205, 0.004000
5120, 1024, 5, 353576.531250, 0.001206, 0.005000
5120, 1024, 5, 353492.125000, 0.001206, 0.003000
5120, 1024, 5, 309420.500000, 0.001378, 0.004000
5120, 1024, 5, 354206.156250, 0.001204, 0.004000
5120, 1024, 5, 352780.968750, 0.001209, 0.004000
5120, 1024, 5, 353548.375000, 0.001206, 0.004000
5120, 1024, 5, 352949.156250, 0.001208, 0.003000
5120, 1024, 5, 352771.656250, 0.001209, 0.003000
5120, 1024, 5, 352930.437500, 0.001208, 0.004000
5120, 1024, 5, 352351.937500, 0.001210, 0.004000
