size_of_array, thread_per_block, number_of_all_blocks, Mflops/s, elapsed_from_GPU, elapsed_from_CPU
5120, 512, 10, 185784.843750, 0.001193, 0.005000
5120, 512, 10, 208970.156250, 0.001061, 0.004000
5120, 512, 10, 204280.609375, 0.001085, 0.005000
5120, 512, 10, 209159.421875, 0.001060, 0.003000
5120, 512, 10, 202046.312500, 0.001097, 0.003000
5120, 512, 10, 196883.890625, 0.001126, 0.003000
5120, 512, 10, 207474.328125, 0.001068, 0.004000
5120, 512, 10, 196699.421875, 0.001127, 0.005000
5120, 512, 10, 190374.859375, 0.001164, 0.003000
5120, 512, 10, 206577.203125, 0.001073, 0.004000
5120, 512, 10, 184076.734375, 0.001204, 0.005000
5120, 512, 10, 210040.937500, 0.001055, 0.004000
5120, 512, 10, 202910.390625, 0.001092, 0.004000
5120, 512, 10, 205389.000000, 0.001079, 0.005000
5120, 512, 10, 194343.109375, 0.001141, 0.004000
5120, 512, 10, 191829.859375, 0.001156, 0.004000
5120, 512, 10, 204178.281250, 0.001086, 0.004000
5120, 512, 10, 197574.593750, 0.001122, 0.004000
5120, 512, 10, 206122.343750, 0.001075, 0.004000
5120, 512, 10, 191036.343750, 0.001160, 0.005000
5120, 512, 10, 198531.531250, 0.001117, 0.004000
5120, 512, 10, 202276.406250, 0.001096, 0.004000
5120, 512, 10, 204286.640625, 0.001085, 0.004000
5120, 512, 10, 197518.250000, 0.001122, 0.005000
5120, 512, 10, 215523.625000, 0.001029, 0.004000
5120, 512, 10, 186299.484375, 0.001190, 0.004000
5120, 512, 10, 206941.296875, 0.001071, 0.004000
5120, 512, 10, 200833.812500, 0.001104, 0.003000
5120, 512, 10, 204612.468750, 0.001083, 0.004000
5120, 512, 10, 206171.453125, 0.001075, 0.005000
5120, 512, 10, 198879.203125, 0.001115, 0.004000
5120, 512, 10, 210206.656250, 0.001055, 0.004000
5120, 512, 10, 211904.218750, 0.001046, 0.005000
5120, 512, 10, 210085.531250, 0.001055, 0.004000
5120, 512, 10, 210949.171875, 0.001051, 0.004000
