size_of_array, thread_per_block, number_of_all_blocks, Mflops/s, elapsed_from_GPU, elapsed_from_CPU
5120, 512, 10, 229033.921875, 0.000968, 0.004000
5120, 512, 10, 237368.421875, 0.000934, 0.003000
5120, 512, 10, 224564.312500, 0.000987, 0.003000
5120, 512, 10, 230735.109375, 0.000961, 0.004000
5120, 512, 10, 225155.546875, 0.000985, 0.004000
5120, 512, 10, 220391.968750, 0.001006, 0.003000
5120, 512, 10, 215382.875000, 0.001029, 0.004000
5120, 512, 10, 229132.421875, 0.000967, 0.003000
5120, 512, 10, 230788.921875, 0.000961, 0.003000
5120, 512, 10, 226799.375000, 0.000977, 0.004000
5120, 512, 10, 232181.250000, 0.000955, 0.003000
5120, 512, 10, 243184.718750, 0.000912, 0.003000
5120, 512, 10, 241885.531250, 0.000916, 0.003000
5120, 512, 10, 226325.140625, 0.000979, 0.003000
5120, 512, 10, 195379.046875, 0.001135, 0.003000
5120, 512, 10, 224099.375000, 0.000989, 0.004000
5120, 512, 10, 229261.328125, 0.000967, 0.003000
5120, 512, 10, 237628.968750, 0.000933, 0.003000
5120, 512, 10, 210200.281250, 0.001055, 0.003000
5120, 512, 10, 237939.140625, 0.000932, 0.003000
5120, 512, 10, 230788.921875, 0.000961, 0.004000
5120, 512, 10, 225009.265625, 0.000985, 0.004000
5120, 512, 10, 228121.312500, 0.000972, 0.004000
5120, 512, 10, 221491.250000, 0.001001, 0.003000
5120, 512, 10, 214065.078125, 0.001036, 0.004000
5120, 512, 10, 206171.453125, 0.001075, 0.003000
5120, 512, 10, 226000.250000, 0.000981, 0.003000
5120, 512, 10, 232274.687500, 0.000954, 0.004000
5120, 512, 10, 223045.921875, 0.000994, 0.004000
5120, 512, 10, 231816.078125, 0.000956, 0.004000
5120, 512, 10, 167964.500000, 0.001320, 0.003000
5120, 512, 10, 219150.890625, 0.001012, 0.004000
5120, 512, 10, 231282.046875, 0.000958, 0.004000
5120, 512, 10, 213445.062500, 0.001039, 0.004000
5120, 512, 10, 214682.046875, 0.001033, 0.004000
5120, 512, 10, 224994.640625, 0.000985, 0.003000
5120, 512, 10, 225243.375000, 0.000984, 0.003000
5120, 512, 10, 230681.328125, 0.000961, 0.003000
5120, 512, 10, 211774.640625, 0.001047, 0.003000
5120, 512, 10, 231282.046875, 0.000958, 0.004000
5120, 512, 10, 235985.687500, 0.000939, 0.004000
5120, 512, 10, 217978.609375, 0.001017, 0.004000
5120, 512, 10, 214005.562500, 0.001036, 0.004000
5120, 512, 10, 218777.156250, 0.001013, 0.004000
5120, 512, 10, 232930.734375, 0.000952, 0.004000
5120, 512, 10, 227394.968750, 0.000975, 0.003000
5120, 512, 10, 234969.140625, 0.000943, 0.004000
5120, 512, 10, 231452.062500, 0.000958, 0.004000
