size_of_array, thread_per_block, number_of_all_blocks, Mflops/s, elapsed_from_GPU, elapsed_from_CPU
5120, 128, 40, 1355753.500000, 0.001059, 0.004000
5120, 128, 40, 1473206.000000, 0.000975, 0.004000
5120, 128, 40, 1439835.625000, 0.000997, 0.004000
5120, 128, 40, 1313454.625000, 0.001093, 0.004000
5120, 128, 40, 1466466.250000, 0.000979, 0.003000
5120, 128, 40, 1391097.375000, 0.001032, 0.004000
5120, 128, 40, 1402400.000000, 0.001024, 0.004000
5120, 128, 40, 1501498.875000, 0.000956, 0.003000
5120, 128, 40, 1381419.750000, 0.001040, 0.004000
5120, 128, 40, 1391615.000000, 0.001032, 0.004000
5120, 128, 40, 1389804.875000, 0.001033, 0.004000
5120, 128, 40, 1431476.750000, 0.001003, 0.004000
5120, 128, 40, 1413353.375000, 0.001016, 0.004000
5120, 128, 40, 1288711.500000, 0.001114, 0.004000
5120, 128, 40, 1037733.875000, 0.001384, 0.004000
5120, 128, 40, 1420556.625000, 0.001011, 0.003000
5120, 128, 40, 1449321.750000, 0.000991, 0.004000
5120, 128, 40, 1511410.500000, 0.000950, 0.003000
5120, 128, 40, 1451759.875000, 0.000989, 0.005000
5120, 128, 40, 1385813.625000, 0.001036, 0.004000
5120, 128, 40, 1413531.500000, 0.001016, 0.003000
5120, 128, 40, 1458033.125000, 0.000985, 0.003000
5120, 128, 40, 1383037.375000, 0.001038, 0.003000
5120, 128, 40, 1452605.750000, 0.000989, 0.004000
5120, 128, 40, 1313377.625000, 0.001093, 0.004000
5120, 128, 40, 1439928.125000, 0.000997, 0.004000
5120, 128, 40, 1393559.625000, 0.001030, 0.004000
5120, 128, 40, 1406575.875000, 0.001021, 0.004000
5120, 128, 40, 1337609.500000, 0.001074, 0.004000
5120, 128, 40, 1366486.875000, 0.001051, 0.004000
5120, 128, 40, 1313531.500000, 0.001093, 0.004000
5120, 128, 40, 1325167.500000, 0.001084, 0.004000
5120, 128, 40, 1507045.500000, 0.000953, 0.004000
5120, 128, 40, 1396725.875000, 0.001028, 0.004000
5120, 128, 40, 1459645.500000, 0.000984, 0.005000
5120, 128, 40, 1433946.875000, 0.001001, 0.003000
5120, 128, 40, 1410288.750000, 0.001018, 0.004000
5120, 128, 40, 1488747.375000, 0.000965, 0.003000
5120, 128, 40, 1446285.625000, 0.000993, 0.004000
5120, 128, 40, 1464217.500000, 0.000981, 0.004000
5120, 128, 40, 1463883.125000, 0.000981, 0.004000
5120, 128, 40, 1363000.750000, 0.001054, 0.004000
5120, 128, 40, 1380314.875000, 0.001040, 0.004000
5120, 128, 40, 1087843.375000, 0.001320, 0.004000
5120, 128, 40, 1282230.875000, 0.001120, 0.004000
5120, 128, 40, 1478106.750000, 0.000972, 0.003000
5120, 128, 40, 1524347.750000, 0.000942, 0.004000
