size_of_array, thread_per_block, number_of_all_blocks, Mflops/s, elapsed_from_GPU, elapsed_from_CPU
5120, 512, 10, 157949.750000, 0.001403, 0.003000
5120, 512, 10, 186349.593750, 0.001190, 0.003000
5120, 512, 10, 185979.390625, 0.001192, 0.003000
5120, 512, 10, 185949.437500, 0.001192, 0.004000
5120, 512, 10, 186299.484375, 0.001190, 0.003000
5120, 512, 10, 150124.828125, 0.001477, 0.003000
5120, 512, 10, 186334.562500, 0.001190, 0.004000
5120, 512, 10, 186079.296875, 0.001191, 0.004000
5120, 512, 10, 185979.390625, 0.001192, 0.003000
5120, 512, 10, 185979.390625, 0.001192, 0.003000
5120, 512, 10, 186565.390625, 0.001188, 0.004000
5120, 512, 10, 186505.125000, 0.001189, 0.003000
5120, 512, 10, 185660.375000, 0.001194, 0.004000
5120, 512, 10, 186004.343750, 0.001192, 0.003000
5120, 512, 10, 186299.484375, 0.001190, 0.003000
5120, 512, 10, 186299.484375, 0.001190, 0.004000
5120, 512, 10, 185223.531250, 0.001197, 0.003000
5120, 512, 10, 187535.125000, 0.001182, 0.004000
5120, 512, 10, 186339.562500, 0.001190, 0.004000
5120, 512, 10, 186274.453125, 0.001190, 0.003000
5120, 512, 10, 186374.687500, 0.001189, 0.003000
5120, 512, 10, 166980.671875, 0.001328, 0.003000
5120, 512, 10, 186299.484375, 0.001190, 0.004000
5120, 512, 10, 186009.343750, 0.001192, 0.004000
5120, 512, 10, 174748.000000, 0.001269, 0.003000
5120, 512, 10, 186014.343750, 0.001192, 0.003000
5120, 512, 10, 185258.203125, 0.001197, 0.003000
5120, 512, 10, 185964.406250, 0.001192, 0.004000
5120, 512, 10, 185670.328125, 0.001194, 0.004000
5120, 512, 10, 185426.796875, 0.001195, 0.004000
5120, 512, 10, 185979.390625, 0.001192, 0.004000
5120, 512, 10, 186299.484375, 0.001190, 0.003000
5120, 512, 10, 186339.562500, 0.001190, 0.004000
5120, 512, 10, 185979.390625, 0.001192, 0.004000
5120, 512, 10, 186505.125000, 0.001189, 0.004000
5120, 512, 10, 186189.312500, 0.001191, 0.004000
5120, 512, 10, 187266.453125, 0.001184, 0.005000
5120, 512, 10, 186054.312500, 0.001191, 0.003000
5120, 512, 10, 187281.625000, 0.001184, 0.004000
5120, 512, 10, 181003.343750, 0.001225, 0.004000
5120, 512, 10, 186014.343750, 0.001192, 0.003000
5120, 512, 10, 186545.312500, 0.001188, 0.003000
5120, 512, 10, 185491.343750, 0.001195, 0.004000
5120, 512, 10, 186620.687500, 0.001188, 0.003000
5120, 512, 10, 185282.984375, 0.001196, 0.003000
5120, 512, 10, 186099.296875, 0.001191, 0.004000
5120, 512, 10, 176466.281250, 0.001256, 0.004000
5120, 512, 10, 185979.390625, 0.001192, 0.004000
5120, 512, 10, 164225.515625, 0.001350, 0.003000
5120, 512, 10, 187175.359375, 0.001184, 0.004000
5120, 512, 10, 185025.656250, 0.001198, 0.003000
5120, 512, 10, 162214.265625, 0.001367, 0.003000
5120, 512, 10, 186610.625000, 0.001188, 0.004000
5120, 512, 10, 186299.484375, 0.001190, 0.004000
5120, 512, 10, 185680.281250, 0.001194, 0.004000
5120, 512, 10, 186184.328125, 0.001191, 0.004000
5120, 512, 10, 185501.281250, 0.001195, 0.003000
5120, 512, 10, 185979.390625, 0.001192, 0.004000
5120, 512, 10, 185342.468750, 0.001196, 0.003000
5120, 512, 10, 185939.453125, 0.001192, 0.004000
5120, 512, 10, 186049.312500, 0.001191, 0.004000
5120, 512, 10, 185979.390625, 0.001192, 0.004000
5120, 512, 10, 186359.625000, 0.001190, 0.003000
5120, 512, 10, 185481.421875, 0.001195, 0.004000
5120, 512, 10, 186515.187500, 0.001189, 0.003000
5120, 512, 10, 164498.484375, 0.001348, 0.004000
5120, 512, 10, 186299.484375, 0.001190, 0.004000
5120, 512, 10, 186249.390625, 0.001190, 0.003000
5120, 512, 10, 150418.203125, 0.001474, 0.003000
5120, 512, 10, 167307.328125, 0.001325, 0.003000
5120, 512, 10, 186299.484375, 0.001190, 0.003000
5120, 512, 10, 185342.468750, 0.001196, 0.004000
5120, 512, 10, 186475.000000, 0.001189, 0.003000
5120, 512, 10, 150890.000000, 0.001469, 0.003000
5120, 512, 10, 186419.812500, 0.001189, 0.004000
5120, 512, 10, 185660.375000, 0.001194, 0.003000
5120, 512, 10, 186299.484375, 0.001190, 0.004000
5120, 512, 10, 185347.421875, 0.001196, 0.003000
5120, 512, 10, 186204.359375, 0.001190, 0.004000
5120, 512, 10, 186399.750000, 0.001189, 0.003000
5120, 512, 10, 186570.437500, 0.001188, 0.004000
5120, 512, 10, 185521.156250, 0.001195, 0.003000
5120, 512, 10, 185342.468750, 0.001196, 0.004000
5120, 512, 10, 185342.468750, 0.001196, 0.004000
5120, 512, 10, 186274.453125, 0.001190, 0.003000
5120, 512, 10, 186269.421875, 0.001190, 0.003000
5120, 512, 10, 185705.171875, 0.001194, 0.004000
5120, 512, 10, 185342.468750, 0.001196, 0.004000
5120, 512, 10, 186364.656250, 0.001189, 0.003000
5120, 512, 10, 186419.812500, 0.001189, 0.005000
5120, 512, 10, 185000.921875, 0.001198, 0.004000
5120, 512, 10, 175901.671875, 0.001260, 0.003000
5120, 512, 10, 178932.203125, 0.001239, 0.004000
5120, 512, 10, 185844.671875, 0.001193, 0.003000
5120, 512, 10, 185979.390625, 0.001192, 0.004000
5120, 512, 10, 158455.562500, 0.001399, 0.003000
5120, 512, 10, 186299.484375, 0.001190, 0.003000
5120, 512, 10, 186014.343750, 0.001192, 0.003000
5120, 512, 10, 181853.890625, 0.001219, 0.004000
5120, 512, 10, 186179.328125, 0.001191, 0.003000
5120, 512, 10, 185979.390625, 0.001192, 0.004000
5120, 512, 10, 173171.015625, 0.001280, 0.004000
5120, 512, 10, 186074.296875, 0.001191, 0.003000
5120, 512, 10, 186344.593750, 0.001190, 0.004000
5120, 512, 10, 185924.468750, 0.001192, 0.004000
5120, 512, 10, 185660.375000, 0.001194, 0.004000
5120, 512, 10, 185660.375000, 0.001194, 0.004000
5120, 512, 10, 186049.312500, 0.001191, 0.004000
5120, 512, 10, 186419.812500, 0.001189, 0.004000
5120, 512, 10, 185979.390625, 0.001192, 0.003000
5120, 512, 10, 185397.031250, 0.001196, 0.003000
5120, 512, 10, 187231.015625, 0.001184, 0.004000
5120, 512, 10, 186379.687500, 0.001189, 0.004000
5120, 512, 10, 186324.531250, 0.001190, 0.004000
5120, 512, 10, 186219.359375, 0.001190, 0.004000
5120, 512, 10, 185580.796875, 0.001194, 0.003000
5120, 512, 10, 186399.750000, 0.001189, 0.004000
5120, 512, 10, 185342.468750, 0.001196, 0.004000
5120, 512, 10, 186229.375000, 0.001190, 0.003000
5120, 512, 10, 186289.468750, 0.001190, 0.003000
5120, 512, 10, 184714.828125, 0.001200, 0.004000
5120, 512, 10, 185799.812500, 0.001193, 0.004000
5120, 512, 10, 170687.687500, 0.001299, 0.003000
5120, 512, 10, 185720.109375, 0.001194, 0.004000
5120, 512, 10, 185969.390625, 0.001192, 0.003000
5120, 512, 10, 167655.546875, 0.001322, 0.003000
5120, 512, 10, 186299.484375, 0.001190, 0.004000
5120, 512, 10, 185934.453125, 0.001192, 0.003000
5120, 512, 10, 186099.296875, 0.001191, 0.004000
5120, 512, 10, 186299.484375, 0.001190, 0.003000
5120, 512, 10, 154563.015625, 0.001434, 0.003000
5120, 512, 10, 185974.390625, 0.001192, 0.003000
5120, 512, 10, 185218.593750, 0.001197, 0.003000
5120, 512, 10, 186014.343750, 0.001192, 0.004000
5120, 512, 10, 186299.484375, 0.001190, 0.004000
5120, 512, 10, 186254.406250, 0.001190, 0.004000
5120, 512, 10, 185660.375000, 0.001194, 0.004000
5120, 512, 10, 187236.062500, 0.001184, 0.004000
5120, 512, 10, 186034.312500, 0.001192, 0.004000
5120, 512, 10, 185999.359375, 0.001192, 0.004000
5120, 512, 10, 185979.390625, 0.001192, 0.004000
5120, 512, 10, 125132.945313, 0.001772, 0.003000
5120, 512, 10, 185149.265625, 0.001197, 0.004000
5120, 512, 10, 185934.453125, 0.001192, 0.004000
5120, 512, 10, 186144.296875, 0.001191, 0.004000
5120, 512, 10, 185979.390625, 0.001192, 0.003000
5120, 512, 10, 185342.468750, 0.001196, 0.003000
5120, 512, 10, 186299.484375, 0.001190, 0.003000
5120, 512, 10, 185884.562500, 0.001193, 0.003000
5120, 512, 10, 185337.515625, 0.001196, 0.004000
5120, 512, 10, 185486.390625, 0.001195, 0.003000
5120, 512, 10, 182987.562500, 0.001211, 0.004000
5120, 512, 10, 185580.796875, 0.001194, 0.003000
5120, 512, 10, 185924.468750, 0.001192, 0.003000
5120, 512, 10, 185979.390625, 0.001192, 0.004000
5120, 512, 10, 186329.562500, 0.001190, 0.003000
5120, 512, 10, 185979.390625, 0.001192, 0.003000
5120, 512, 10, 181292.312500, 0.001223, 0.003000
5120, 512, 10, 186149.312500, 0.001191, 0.004000
5120, 512, 10, 186620.687500, 0.001188, 0.004000
5120, 512, 10, 185451.625000, 0.001195, 0.004000
5120, 512, 10, 187261.359375, 0.001184, 0.004000
5120, 512, 10, 157325.578125, 0.001409, 0.004000
5120, 512, 10, 186299.484375, 0.001190, 0.003000
5120, 512, 10, 185253.265625, 0.001197, 0.003000
5120, 512, 10, 185934.453125, 0.001192, 0.003000
5120, 512, 10, 185779.890625, 0.001193, 0.004000
5120, 512, 10, 185914.484375, 0.001192, 0.003000
5120, 512, 10, 186409.796875, 0.001189, 0.004000
5120, 512, 10, 186274.453125, 0.001190, 0.004000
5120, 512, 10, 185979.390625, 0.001192, 0.004000
5120, 512, 10, 185939.453125, 0.001192, 0.003000
5120, 512, 10, 185779.890625, 0.001193, 0.004000
5120, 512, 10, 185994.359375, 0.001192, 0.003000
5120, 512, 10, 185585.781250, 0.001194, 0.003000
5120, 512, 10, 162009.390625, 0.001368, 0.004000
5120, 512, 10, 186912.734375, 0.001186, 0.004000
5120, 512, 10, 186550.343750, 0.001188, 0.004000
5120, 512, 10, 185342.468750, 0.001196, 0.003000
5120, 512, 10, 185198.781250, 0.001197, 0.003000
5120, 512, 10, 185238.390625, 0.001197, 0.004000
5120, 512, 10, 185456.578125, 0.001195, 0.004000
5120, 512, 10, 185060.250000, 0.001198, 0.004000
5120, 512, 10, 186600.578125, 0.001188, 0.004000
5120, 512, 10, 186159.312500, 0.001191, 0.004000
5120, 512, 10, 186329.562500, 0.001190, 0.004000
5120, 512, 10, 184081.640625, 0.001204, 0.004000
5120, 512, 10, 185954.421875, 0.001192, 0.003000
5120, 512, 10, 185944.421875, 0.001192, 0.004000
5120, 512, 10, 185416.890625, 0.001196, 0.004000
5120, 512, 10, 185979.390625, 0.001192, 0.004000
5120, 512, 10, 185292.906250, 0.001196, 0.004000
5120, 512, 10, 185089.906250, 0.001198, 0.003000
5120, 512, 10, 185000.921875, 0.001198, 0.003000
5120, 512, 10, 185969.390625, 0.001192, 0.003000
5120, 512, 10, 185109.687500, 0.001198, 0.004000
5120, 512, 10, 186029.312500, 0.001192, 0.004000
5120, 512, 10, 185248.296875, 0.001197, 0.004000
5120, 512, 10, 162149.718750, 0.001367, 0.004000
5120, 512, 10, 185904.531250, 0.001192, 0.004000
