size_of_array, thread_per_block, number_of_all_blocks, Mflops/s, elapsed_from_GPU, elapsed_from_CPU
5120, 256, 20, 1122985.000000, 0.001069, 0.004000
5120, 256, 20, 1059367.250000, 0.001133, 0.004000
5120, 256, 20, 1065293.750000, 0.001127, 0.004000
5120, 256, 20, 1190749.750000, 0.001008, 0.003000
5120, 256, 20, 1151528.625000, 0.001042, 0.004000
5120, 256, 20, 1153795.250000, 0.001040, 0.004000
5120, 256, 20, 1078897.625000, 0.001113, 0.003000
5120, 256, 20, 1118331.375000, 0.001073, 0.003000
5120, 256, 20, 1096046.500000, 0.001095, 0.003000
5120, 256, 20, 1141749.875000, 0.001051, 0.003000
5120, 256, 20, 1091867.250000, 0.001099, 0.004000
5120, 256, 20, 1090978.125000, 0.001100, 0.004000
5120, 256, 20, 1108712.875000, 0.001083, 0.003000
5120, 256, 20, 1120402.250000, 0.001071, 0.003000
5120, 256, 20, 1036162.500000, 0.001158, 0.004000
5120, 256, 20, 1063934.250000, 0.001128, 0.004000
5120, 256, 20, 1113650.125000, 0.001078, 0.004000
5120, 256, 20, 1108123.375000, 0.001083, 0.003000
5120, 256, 20, 991075.062500, 0.001211, 0.004000
5120, 256, 20, 1128118.375000, 0.001064, 0.003000
5120, 256, 20, 1120502.875000, 0.001071, 0.004000
5120, 256, 20, 1110419.500000, 0.001081, 0.003000
5120, 256, 20, 1114609.750000, 0.001077, 0.003000
5120, 256, 20, 1116633.625000, 0.001075, 0.003000
5120, 256, 20, 1103494.500000, 0.001088, 0.004000
5120, 256, 20, 1129341.125000, 0.001063, 0.004000
5120, 256, 20, 1065324.125000, 0.001127, 0.004000
5120, 256, 20, 1113517.875000, 0.001078, 0.004000
5120, 256, 20, 1154292.375000, 0.001040, 0.003000
5120, 256, 20, 1131521.250000, 0.001061, 0.003000
5120, 256, 20, 1088382.500000, 0.001103, 0.004000
5120, 256, 20, 1045927.437500, 0.001148, 0.004000
5120, 256, 20, 1155679.250000, 0.001039, 0.003000
5120, 256, 20, 1090882.875000, 0.001100, 0.003000
5120, 256, 20, 1079456.375000, 0.001112, 0.004000
5120, 256, 20, 1042468.687500, 0.001151, 0.004000
5120, 256, 20, 1108287.000000, 0.001083, 0.004000
5120, 256, 20, 1075156.000000, 0.001116, 0.003000
5120, 256, 20, 1110090.875000, 0.001081, 0.003000
5120, 256, 20, 1064115.250000, 0.001128, 0.003000
5120, 256, 20, 1100193.375000, 0.001091, 0.004000
5120, 256, 20, 1081604.125000, 0.001110, 0.004000
5120, 256, 20, 977210.812500, 0.001228, 0.004000
5120, 256, 20, 928864.500000, 0.001292, 0.003000
5120, 256, 20, 1054157.375000, 0.001139, 0.003000
5120, 256, 20, 1142410.500000, 0.001051, 0.003000
5120, 256, 20, 1120904.500000, 0.001071, 0.004000
5120, 256, 20, 1090439.000000, 0.001101, 0.003000
5120, 256, 20, 1100322.375000, 0.001091, 0.003000
5120, 256, 20, 1079549.750000, 0.001112, 0.004000
5120, 256, 20, 1056086.500000, 0.001137, 0.004000
5120, 256, 20, 1084261.500000, 0.001107, 0.004000
5120, 256, 20, 1058560.125000, 0.001134, 0.003000
5120, 256, 20, 1088729.875000, 0.001103, 0.004000
5120, 256, 20, 1131999.250000, 0.001060, 0.003000
5120, 256, 20, 1054187.125000, 0.001139, 0.003000
5120, 256, 20, 1067628.375000, 0.001124, 0.004000
5120, 256, 20, 1175083.625000, 0.001022, 0.003000
5120, 256, 20, 1127338.500000, 0.001065, 0.003000
5120, 256, 20, 1106032.375000, 0.001085, 0.003000
5120, 256, 20, 1049292.000000, 0.001144, 0.004000
5120, 256, 20, 1165155.750000, 0.001030, 0.003000
5120, 256, 20, 1111637.125000, 0.001080, 0.003000
5120, 256, 20, 1089457.250000, 0.001102, 0.003000
5120, 256, 20, 1045344.687500, 0.001148, 0.004000
5120, 256, 20, 1079425.375000, 0.001112, 0.003000
5120, 256, 20, 1134841.750000, 0.001058, 0.003000
5120, 256, 20, 1131521.250000, 0.001061, 0.004000
5120, 256, 20, 1086554.000000, 0.001105, 0.004000
5120, 256, 20, 1041080.000000, 0.001153, 0.004000
5120, 256, 20, 1152165.125000, 0.001042, 0.004000
5120, 256, 20, 1100193.375000, 0.001091, 0.003000
5120, 256, 20, 1058649.625000, 0.001134, 0.004000
5120, 256, 20, 1025904.375000, 0.001170, 0.004000
5120, 256, 20, 1112461.250000, 0.001079, 0.004000
5120, 256, 20, 1054839.250000, 0.001138, 0.004000
5120, 256, 20, 1044384.187500, 0.001149, 0.004000
5120, 256, 20, 1044849.625000, 0.001149, 0.004000
5120, 256, 20, 1035561.875000, 0.001159, 0.004000
5120, 256, 20, 1003643.812500, 0.001196, 0.004000
5120, 256, 20, 1082134.500000, 0.001109, 0.004000
5120, 256, 20, 1142549.625000, 0.001051, 0.004000
5120, 256, 20, 1097425.250000, 0.001094, 0.004000
5120, 256, 20, 1121105.625000, 0.001071, 0.004000
5120, 256, 20, 1058201.750000, 0.001134, 0.004000
5120, 256, 20, 1038169.937500, 0.001156, 0.004000
5120, 256, 20, 1067628.375000, 0.001124, 0.003000
5120, 256, 20, 1083603.625000, 0.001108, 0.004000
5120, 256, 20, 1120335.500000, 0.001071, 0.003000
5120, 256, 20, 1110748.375000, 0.001081, 0.004000
5120, 256, 20, 1110090.875000, 0.001081, 0.004000
5120, 256, 20, 1127067.625000, 0.001065, 0.004000
5120, 256, 20, 1146565.750000, 0.001047, 0.003000
5120, 256, 20, 1090122.125000, 0.001101, 0.004000
5120, 256, 20, 1086270.875000, 0.001105, 0.004000
5120, 256, 20, 1086742.875000, 0.001105, 0.004000
5120, 256, 20, 1011219.312500, 0.001187, 0.004000
5120, 256, 20, 1027731.312500, 0.001168, 0.004000
5120, 256, 20, 1131521.250000, 0.001061, 0.003000
5120, 256, 20, 1110090.875000, 0.001081, 0.003000
5120, 256, 20, 1107992.375000, 0.001083, 0.003000
5120, 256, 20, 1131418.875000, 0.001061, 0.004000
5120, 256, 20, 1085045.500000, 0.001106, 0.004000
5120, 256, 20, 1001928.250000, 0.001198, 0.004000
5120, 256, 20, 1103527.000000, 0.001088, 0.004000
5120, 256, 20, 982303.187500, 0.001222, 0.005000
5120, 256, 20, 998514.500000, 0.001202, 0.004000
5120, 256, 20, 1120235.000000, 0.001072, 0.003000
5120, 256, 20, 1117798.375000, 0.001074, 0.003000
5120, 256, 20, 1012310.937500, 0.001186, 0.004000
5120, 256, 20, 1086113.625000, 0.001105, 0.004000
5120, 256, 20, 1095566.250000, 0.001096, 0.003000
5120, 256, 20, 1058440.500000, 0.001134, 0.004000
5120, 256, 20, 1072022.000000, 0.001120, 0.004000
5120, 256, 20, 1059277.375000, 0.001133, 0.004000
5120, 256, 20, 940603.187500, 0.001276, 0.003000
5120, 256, 20, 1123927.125000, 0.001068, 0.003000
5120, 256, 20, 1102262.500000, 0.001089, 0.003000
5120, 256, 20, 1093522.375000, 0.001098, 0.003000
5120, 256, 20, 1110090.875000, 0.001081, 0.003000
5120, 256, 20, 1069546.125000, 0.001122, 0.003000
5120, 256, 20, 1064719.375000, 0.001127, 0.003000
5120, 256, 20, 1100096.500000, 0.001091, 0.003000
5120, 256, 20, 1087436.000000, 0.001104, 0.003000
5120, 256, 20, 1127609.750000, 0.001065, 0.003000
5120, 256, 20, 1021740.875000, 0.001175, 0.004000
5120, 256, 20, 1083572.375000, 0.001108, 0.003000
5120, 256, 20, 1078928.625000, 0.001113, 0.004000
5120, 256, 20, 1079021.750000, 0.001112, 0.003000
5120, 256, 20, 1126661.375000, 0.001065, 0.003000
5120, 256, 20, 1016700.687500, 0.001181, 0.004000
5120, 256, 20, 1211008.250000, 0.000991, 0.003000
5120, 256, 20, 1090882.875000, 0.001100, 0.004000
5120, 256, 20, 1119499.625000, 0.001072, 0.003000
5120, 256, 20, 1067537.375000, 0.001124, 0.003000
5120, 256, 20, 1110090.875000, 0.001081, 0.003000
5120, 256, 20, 1091009.875000, 0.001100, 0.003000
5120, 256, 20, 1075741.750000, 0.001116, 0.004000
5120, 256, 20, 1036305.562500, 0.001158, 0.004000
5120, 256, 20, 1016122.375000, 0.001181, 0.004000
5120, 256, 20, 1049292.000000, 0.001144, 0.004000
5120, 256, 20, 1069576.625000, 0.001122, 0.004000
5120, 256, 20, 1099677.250000, 0.001092, 0.004000
5120, 256, 20, 1161116.625000, 0.001034, 0.003000
5120, 256, 20, 1112791.250000, 0.001079, 0.003000
5120, 256, 20, 1077441.250000, 0.001114, 0.004000
5120, 256, 20, 1021212.250000, 0.001175, 0.004000
5120, 256, 20, 1037308.687500, 0.001157, 0.004000
