size_of_array, thread_per_block, number_of_all_blocks, Mflops/s, elapsed_from_GPU, elapsed_from_CPU
5120, 128, 40, 1298293.125000, 0.001106, 0.004000
5120, 128, 40, 1241062.000000, 0.001157, 0.003000
5120, 128, 40, 1261151.125000, 0.001139, 0.004000
5120, 128, 40, 1256560.375000, 0.001143, 0.004000
5120, 128, 40, 1255049.250000, 0.001144, 0.004000
5120, 128, 40, 1304937.500000, 0.001100, 0.004000
5120, 128, 40, 1246370.000000, 0.001152, 0.004000
5120, 128, 40, 1305620.875000, 0.001100, 0.004000
5120, 128, 40, 1295744.000000, 0.001108, 0.003000
5120, 128, 40, 1283184.250000, 0.001119, 0.004000
5120, 128, 40, 1345107.000000, 0.001068, 0.003000
5120, 128, 40, 1267634.625000, 0.001133, 0.003000
5120, 128, 40, 1295407.375000, 0.001109, 0.003000
5120, 128, 40, 1277122.375000, 0.001124, 0.003000
5120, 128, 40, 1313300.750000, 0.001093, 0.003000
5120, 128, 40, 1313377.625000, 0.001093, 0.003000
5120, 128, 40, 1257757.875000, 0.001142, 0.004000
5120, 128, 40, 1255892.375000, 0.001143, 0.003000
5120, 128, 40, 1281901.375000, 0.001120, 0.003000
5120, 128, 40, 1245401.625000, 0.001153, 0.004000
5120, 128, 40, 1254453.000000, 0.001145, 0.004000
5120, 128, 40, 1291307.375000, 0.001112, 0.004000
5120, 128, 40, 1257863.625000, 0.001142, 0.004000
5120, 128, 40, 1054386.500000, 0.001362, 0.004000
5120, 128, 40, 1300965.375000, 0.001104, 0.003000
5120, 128, 40, 1180999.500000, 0.001216, 0.004000
5120, 128, 40, 1173096.375000, 0.001224, 0.003000
5120, 128, 40, 1303572.875000, 0.001102, 0.004000
5120, 128, 40, 1243262.375000, 0.001155, 0.004000
5120, 128, 40, 1221436.625000, 0.001176, 0.004000
5120, 128, 40, 1176972.875000, 0.001220, 0.005000
5120, 128, 40, 1333832.750000, 0.001077, 0.004000
5120, 128, 40, 1249006.500000, 0.001150, 0.004000
5120, 128, 40, 1217493.250000, 0.001180, 0.004000
5120, 128, 40, 1284249.000000, 0.001118, 0.004000
5120, 128, 40, 1309086.625000, 0.001097, 0.004000
5120, 128, 40, 1239074.500000, 0.001159, 0.004000
5120, 128, 40, 1286015.500000, 0.001117, 0.004000
5120, 128, 40, 1275452.500000, 0.001126, 0.003000
5120, 128, 40, 1266418.250000, 0.001134, 0.004000
5120, 128, 40, 1305772.875000, 0.001100, 0.004000
5120, 128, 40, 1239964.625000, 0.001158, 0.005000
5120, 128, 40, 1323018.875000, 0.001085, 0.004000
5120, 128, 40, 1176849.500000, 0.001220, 0.004000
5120, 128, 40, 1333079.875000, 0.001077, 0.003000
5120, 128, 40, 1307294.500000, 0.001098, 0.003000
5120, 128, 40, 1268889.125000, 0.001132, 0.004000
5120, 128, 40, 1316112.375000, 0.001091, 0.004000
5120, 128, 40, 1281901.375000, 0.001120, 0.004000
5120, 128, 40, 1239930.375000, 0.001158, 0.004000
5120, 128, 40, 1335579.250000, 0.001075, 0.004000
5120, 128, 40, 1312647.750000, 0.001094, 0.004000
5120, 128, 40, 1225874.250000, 0.001171, 0.004000
5120, 128, 40, 1243262.375000, 0.001155, 0.004000
5120, 128, 40, 1365696.875000, 0.001052, 0.003000
5120, 128, 40, 1383080.125000, 0.001038, 0.003000
5120, 128, 40, 1281864.625000, 0.001120, 0.003000
5120, 128, 40, 1271729.875000, 0.001129, 0.004000
5120, 128, 40, 1301757.875000, 0.001103, 0.003000
5120, 128, 40, 1289600.375000, 0.001114, 0.004000
5120, 128, 40, 1372547.125000, 0.001046, 0.003000
5120, 128, 40, 1310960.500000, 0.001095, 0.003000
5120, 128, 40, 1232676.000000, 0.001165, 0.004000
5120, 128, 40, 1323018.875000, 0.001085, 0.005000
5120, 128, 40, 1327676.750000, 0.001082, 0.004000
5120, 128, 40, 1302589.250000, 0.001102, 0.004000
5120, 128, 40, 1281901.375000, 0.001120, 0.004000
5120, 128, 40, 1348461.500000, 0.001065, 0.003000
5120, 128, 40, 1229366.625000, 0.001168, 0.004000
5120, 128, 40, 1300324.625000, 0.001104, 0.004000
5120, 128, 40, 1328226.875000, 0.001081, 0.003000
5120, 128, 40, 1367611.375000, 0.001050, 0.004000
5120, 128, 40, 1156141.750000, 0.001242, 0.004000
5120, 128, 40, 1319285.125000, 0.001089, 0.003000
5120, 128, 40, 1326303.375000, 0.001083, 0.003000
5120, 128, 40, 1335857.500000, 0.001075, 0.003000
5120, 128, 40, 1287491.500000, 0.001115, 0.003000
5120, 128, 40, 1221702.500000, 0.001175, 0.004000
5120, 128, 40, 1247270.750000, 0.001151, 0.004000
5120, 128, 40, 1186432.250000, 0.001210, 0.004000
5120, 128, 40, 1322629.000000, 0.001086, 0.003000
5120, 128, 40, 1269463.375000, 0.001131, 0.004000
5120, 128, 40, 1227685.125000, 0.001170, 0.004000
5120, 128, 40, 1309659.750000, 0.001097, 0.004000
5120, 128, 40, 1128862.500000, 0.001272, 0.004000
5120, 128, 40, 1266382.625000, 0.001134, 0.004000
